P.5os_X,Pos_Y,Node_A,Node_B,Node_C,Node_D,Node_E,Node_F,Node_G,Node_H,Node_I,Node_J,Node_K,Node_L
3.5,1,-54,-50,-48,-55,-56,-71,-56,-63,-62,-55,-60,-54
3.5,1,-53,-50,-48,-55,-56,-71,-56,-62,-64,-55,-60,-55
3.5,1,-53,-50,-48,-55,-56,-71,-56,-62,-65,-55,-60,-55
3.5,1,-53,-50,-48,-55,-56,-71,-55,-62,-65,-55,-60,-55
3.5,1,-53,-50,-48,-55,-56,-67,-55,-62,-65,-58,-58,-55
3.5,1,-53,-50,-48,-55,-55,-65,-55,-62,-64,-58,-58,-55
3.5,1,-52,-50,-48,-53,-55,-65,-55,-62,-64,-58,-59,-57
3.5,1,-52,-50,-48,-53,-55,-65,-55,-62,-64,-58,-59,-57
3.5,1,-52,-50,-48,-53,-53,-65,-55,-62,-64,-58,-58,-57
3.5,1,-52,-50,-47,-53,-52,-65,-55,-58,-64,-58,-58,-57
3.5,1,-52,-50,-47,-53,-52,-65,-55,-58,-64,-58,-58,-57
3.5,1,-52,-50,-46,-53,-52,-65,-55,-58,-64,-58,-58,-57
3.5,1,-52,-50,-46,-53,-52,-65,-57,-58,-64,-58,-58,-57
3.5,1,-52,-50,-46,-53,-51,-65,-60,-58,-64,-58,-58,-57
3.5,1,-52,-50,-46,-51,-51,-60,-57,-58,-64,-58,-58,-57
3.5,1,-52,-50,-46,-51,-51,-60,-57,-55,-64,-67,-58,-57
3.5,1,-52,-50,-46,-51,-51,-60,-57,-59,-64,-67,-58,-54
3.5,1,-52,-50,-46,-51,-51,-60,-59,-61,-63,-67,-58,-54
3.5,1,-52,-50,-46,-51,-51,-59,-59,-61,-63,-67,-63,-55
3.5,1,-52,-50,-46,-49,-51,-59,-59,-61,-63,-67,-61,-55
3.5,1,-53,-50,-46,-49,-51,-59,-59,-61,-68,-67,-61,-55
3.5,1,-53,-50,-46,-49,-51,-59,-59,-61,-68,-67,-61,-55
3.5,1,-53,-50,-46,-49,-51,-59,-59,-61,-68,-67,-61,-55
3.5,1,-53,-50,-46,-49,-51,-59,-59,-61,-68,-67,-63,-55
3.5,1,-53,-51,-46,-49,-51,-59,-59,-61,-68,-67,-63,-55
3.5,1,-53,-50,-46,-49,-50,-59,-59,-61,-67,-67,-63,-55
3.5,1,-53,-51,-46,-49,-50,-59,-59,-60,-67,-67,-63,-55
3.5,1,-53,-51,-46,-48,-50,-61,-59,-60,-67,-67,-63,-55
3.5,1,-53,-51,-47,-48,-50,-61,-59,-60,-66,-73,-63,-55
3.5,1,-53,-51,-47,-48,-50,-61,-59,-60,-65,-73,-63,-54
3.5,1,-53,-51,-45,-48,-50,-61,-59,-60,-65,-73,-63,-54
3.5,1,-53,-51,-45,-48,-50,-61,-59,-61,-67,-73,-63,-57
3.5,1,-53,-51,-45,-51,-50,-63,-59,-61,-67,-73,-62,-57
3.5,1,-53,-51,-45,-51,-50,-63,-59,-61,-67,-73,-62,-57
3.5,1,-53,-51,-45,-51,-50,-63,-59,-61,-67,-73,-60,-57
3.5,1,-53,-51,-44,-51,-50,-63,-59,-61,-67,-67,-60,-57
3.5,1,-53,-51,-44,-51,-50,-63,-59,-61,-67,-66,-60,-57
3.5,1,-53,-51,-44,-51,-50,-63,-66,-61,-67,-65,-60,-57
3.5,1,-53,-52,-44,-51,-50,-63,-67,-59,-67,-65,-60,-57
3.5,1,-53,-52,-44,-51,-52,-63,-67,-59,-67,-65,-60,-57
3.5,1,-53,-48,-44,-51,-52,-63,-67,-58,-65,-65,-60,-62
3.5,1,-53,-48,-44,-51,-52,-65,-67,-58,-65,-65,-60,-61
3.5,1,-53,-48,-44,-51,-52,-65,-67,-58,-65,-65,-60,-61
3.5,1,-53,-48,-47,-48,-52,-65,-67,-58,-65,-65,-60,-61
3.5,1,-53,-48,-45,-48,-52,-65,-67,-58,-65,-65,-60,-58
3.5,1,-53,-48,-45,-48,-52,-65,-67,-58,-67,-65,-60,-58
3.5,1,-53,-50,-46,-48,-52,-65,-67,-58,-67,-65,-60,-58
3.5,1,-53,-50,-46,-48,-50,-65,-67,-57,-67,-63,-60,-58
3.5,1,-53,-50,-46,-48,-50,-65,-67,-57,-67,-63,-60,-58
3.5,1,-53,-50,-46,-48,-50,-65,-71,-57,-67,-63,-60,-58
3.5,1,-53,-50,-46,-48,-50,-65,-71,-57,-67,-69,-60,-58
3.5,1,-53,-50,-46,-48,-50,-65,-71,-57,-67,-66,-60,-61
3.5,1,-53,-50,-46,-48,-50,-60,-71,-57,-67,-71,-60,-61
3.5,1,-53,-50,-45,-48,-50,-60,-71,-57,-67,-71,-60,-63
3.5,1,-53,-50,-45,-48,-49,-59,-71,-58,-67,-71,-59,-63
3.5,1,-53,-50,-45,-48,-49,-59,-71,-58,-67,-71,-59,-63
3.5,1,-53,-50,-45,-47,-49,-59,-71,-58,-67,-71,-59,-63
3.5,1,-50,-50,-45,-47,-49,-59,-71,-58,-67,-71,-59,-63
3.5,1,-50,-50,-45,-47,-49,-59,-71,-58,-67,-71,-59,-63
3.5,1,-51,-50,-41,-47,-49,-59,-71,-58,-67,-71,-59,-63
3.5,1,-51,-54,-45,-47,-49,-59,-71,-62,-67,-64,-56,-63
3.5,1,-51,-54,-45,-47,-49,-59,-71,-62,-67,-64,-56,-63
3.5,1,-51,-54,-45,-47,-49,-59,-71,-62,-67,-64,-56,-63
3.5,1,-51,-47,-45,-50,-49,-57,-71,-62,-79,-64,-56,-61
.5
